    0.00 
    0.20 V
      frequency    real         imag
      252.75    -0.0002888    -0.0006420
      252.76    -0.0000431    -0.0010132
      252.77    -0.0004182    -0.0010194
      252.78    -0.0002189    -0.0007215
      252.79    -0.0004101    -0.0007415
      252.81    -0.0003494    -0.0008144
      252.82    -0.0000914    -0.0008187
      252.83    -0.0003011    -0.0009405
      252.84    -0.0003526    -0.0008562
      252.85    -0.0002187    -0.0008163
      252.86    -0.0001827    -0.0006932
      252.87    -0.0002292    -0.0010096
      252.88    -0.0003244    -0.0008141
      252.89    -0.0003068    -0.0008621
      252.90    -0.0001446    -0.0007549
      252.92    -0.0003007    -0.0006500
      252.93    -0.0002476    -0.0009456
      252.94    -0.0004411    -0.0010252
      252.95    -0.0003385    -0.0009447
      252.96    -0.0001022    -0.0008572
      252.97    -0.0002293    -0.0007811
      252.98    -0.0003778    -0.0007004
      252.99    -0.0002626    -0.0008949
      253.00    -0.0003664    -0.0008210
      253.01    -0.0002525    -0.0010396
      253.03    -0.0004147    -0.0008076
      253.04    -0.0002137    -0.0008854
      253.05    -0.0003344    -0.0009913
      253.06    -0.0004553    -0.0008041
      253.07    -0.0003386    -0.0007235
      253.08    -0.0002285    -0.0008135
      253.09    -0.0001804    -0.0009312
      253.10    -0.0002606    -0.0007554
      253.11    -0.0003460    -0.0007443
      253.12    -0.0003720    -0.0006842
      253.14    -0.0003848    -0.0009368
      253.15    -0.0002745    -0.0005746
      253.16    -0.0005469    -0.0007457
      253.17    -0.0004448    -0.0008923
      253.18    -0.0001390    -0.0007950
      253.19    -0.0002889    -0.0008269
      253.20    -0.0003478    -0.0007484
      253.21    -0.0003880    -0.0008311
      253.22    -0.0003999    -0.0007821
      253.23    -0.0002794    -0.0008303
      253.25    -0.0003546    -0.0009684
      253.26    -0.0002769    -0.0008051
      253.27    -0.0002622    -0.0007187
      253.28    -0.0004184    -0.0008322
      253.29    -0.0003154    -0.0008111
      253.30    -0.0002650    -0.0008113
      253.31    -0.0004703    -0.0007536
      253.32    -0.0002493    -0.0008741
      253.33    -0.0002807    -0.0008663
      253.34    -0.0001393    -0.0008417
      253.36    -0.0003171    -0.0006971
      253.37    -0.0002783    -0.0008628
      253.38    -0.0002462    -0.0009031
      253.39    -0.0003660    -0.0008541
      253.40    -0.0002819    -0.0007960
      253.41    -0.0003885    -0.0008805
      253.42    -0.0003865    -0.0011223
      253.43    -0.0002126    -0.0006772
      253.44    -0.0002635    -0.0008254
      253.45    -0.0003823    -0.0008130
      253.47    -0.0003197    -0.0007861
      253.48    -0.0003570    -0.0007236
      253.49    -0.0002709    -0.0007556
      253.50    -0.0003229    -0.0007206
      253.51    -0.0004346    -0.0009036
      253.52    -0.0002909    -0.0007621
      253.53    -0.0002497    -0.0007060
      253.54    -0.0004137    -0.0008838
      253.55    -0.0002995    -0.0008856
      253.56    -0.0003143    -0.0007753
      253.58    -0.0003984    -0.0006373
      253.59    -0.0002889    -0.0006086
