   37.56 C
      frequency    real         imag
      253.18    -0.0010385    -0.0022032
      253.19    -0.0010329    -0.0022304
      253.20    -0.0011142    -0.0023640
      253.21    -0.0012481    -0.0023035
      253.22    -0.0009896    -0.0022525
      253.23    -0.0010934    -0.0020624
      253.25    -0.0010020    -0.0022645
      253.26    -0.0011277    -0.0022887
      253.27    -0.0010234    -0.0023107
      253.28    -0.0009929    -0.0021511
      253.29    -0.0009295    -0.0022314
      253.30    -0.0010500    -0.0023347
      253.31    -0.0010324    -0.0020560
      253.32    -0.0012719    -0.0022265
      253.33    -0.0010929    -0.0021653
      253.34    -0.0011691    -0.0021227
      253.36    -0.0010636    -0.0022512
      253.37    -0.0011190    -0.0021306
      253.38    -0.0012346    -0.0021678
      253.39    -0.0011504    -0.0020490
      253.40    -0.0011440    -0.0022954
      253.41    -0.0011860    -0.0020301
      253.42    -0.0010597    -0.0020540
      253.43    -0.0011862    -0.0022232
      253.44    -0.0009595    -0.0021812
      253.45    -0.0011205    -0.0021744
      253.47    -0.0011082    -0.0019704
      253.48    -0.0009705    -0.0020100
      253.49    -0.0010847    -0.0022057
      253.50    -0.0009358    -0.0020862
      253.51    -0.0010156    -0.0022048
      253.52    -0.0010496    -0.0020224
      253.53    -0.0010790    -0.0023403
      253.54    -0.0012542    -0.0020954
      253.55    -0.0011953    -0.0022213
      253.56    -0.0009885    -0.0020219
      253.58    -0.0010891    -0.0020159
      253.59    -0.0011598    -0.0022057
      253.60    -0.0011537    -0.0019935
      253.61    -0.0009560    -0.0023325
      253.62    -0.0010764    -0.0021824
      253.63    -0.0010610    -0.0021514
      253.64    -0.0009782    -0.0021022
      253.65    -0.0012852    -0.0020911
      253.66    -0.0011180    -0.0019833
      253.67    -0.0011274    -0.0020927
      253.69    -0.0011074    -0.0020403
      253.70    -0.0011913    -0.0022146
      253.71    -0.0010807    -0.0021531
      253.72    -0.0011017    -0.0021449
      253.73    -0.0011247    -0.0020695
      253.74    -0.0010319    -0.0020871
      253.75    -0.0011330    -0.0020771
      253.76    -0.0011118    -0.0020487
      253.77    -0.0011218    -0.0020797
      253.78    -0.0011592    -0.0020916
      253.80    -0.0010546    -0.0019698
      253.81    -0.0010806    -0.0020166
      253.82    -0.0009715    -0.0020531
      253.83    -0.0010895    -0.0019832
      253.84    -0.0008853    -0.0021737
      253.85    -0.0011059    -0.0022728
      253.86    -0.0010523    -0.0021531
      253.87    -0.0010694    -0.0020951
      253.88    -0.0009939    -0.0022022
      253.89    -0.0010938    -0.0022045
      253.91    -0.0010951    -0.0021065
      253.92    -0.0010996    -0.0020731
      253.93    -0.0009730    -0.0021950
